Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
138,Tuesday Sep 5,boxscore,LAD,,ARI,L,1,3,10,92-46,1,up11.5,Hernandez,Baez,Rodney,3:42,N,47039,-----
139,Wednesday Sep 6,boxscore,LAD,,ARI,L,1,3,,92-47,1,up10.5,Walker,Avilan,Rodney,3:18,N,48612,------
140,Thursday Sep 7,boxscore,LAD,,COL,L,1,9,,92-48,1,up10.0,Gray,Kershaw,,3:35,N,51492,-------
141,Friday Sep 8,boxscore,LAD,,COL,L,4,5,,92-49,1,up10.0,Rusin,Darvish,Holland,3:32,N,53632,--------
142,Saturday Sep 9,boxscore,LAD,,COL,L,5,6,,92-50,1,up10.0,Bettis,Wood,Holland,3:29,N,52884,---------
143,Sunday Sep 10,boxscore,LAD,,COL,L,1,8,,92-51,1,up 9.0,Chatwood,Hill,,3:16,D,50161,----------
144,Monday Sep 11,boxscore,LAD,@,SFG,L,6,8,,92-52,1,up 9.0,Law,Baez,Dyson,3:22,N,40409,-----------
145,Tuesday Sep 12,boxscore,LAD,@,SFG,W,5,3,,93-52,1,up10.0,Kershaw,Cueto,Jansen,3:29,N,38727,+
146,Wednesday Sep 13,boxscore,LAD,@,SFG,W,4,1,,94-52,1,up10.0,Darvish,Moore,,2:58,N,38866,++
147,Friday Sep 15,boxscore,LAD,@,WSN,W,7,0,,95-52,1,up 9.5,Wood,Jackson,,3:09,N,37508,+++
148,Saturday Sep 16,boxscore,LAD,@,WSN,W,3,2,,96-52,1,up 9.5,Hill,Cole,Jansen,2:46,D,39387,++++
149,Sunday Sep 17,boxscore,LAD,@,WSN,L,1,7,,96-53,1,up 9.5,Strasburg,Stripling,,3:22,N,29155,-
150,Monday Sep 18,boxscore,LAD,@,PHI,L,3,4,,96-54,1,up 9.5,Pivetta,Kershaw,Neris,2:40,N,16690,--
151,Tuesday Sep 19,boxscore,LAD,@,PHI,L,2,6,,96-55,1,up 9.5,Nola,Baez,,3:23,N,20145,---
152,Wednesday Sep 20,boxscore,LAD,@,PHI,L,5,7,,96-56,1,up 8.5,Garcia,Avilan,Neris,3:18,N,20175,----
153,Thursday Sep 21,boxscore,LAD,@,PHI,W,5,4,,97-56,1,up 9.0,Buehler,Pinto,Jansen,3:39,D,18735,+
154,Friday Sep 22,boxscore,LAD,,SFG,W,4,2,,98-56,1,up 9.0,Hill,Samardzija,Jansen,2:55,N,51159,++
155,Saturday Sep 23,boxscore,LAD,,SFG,L,1,2,,98-57,1,up 9.0,Bumgarner,Ryu,Dyson,2:53,N,51093,-
156,Sunday Sep 24,boxscore,LAD,,SFG,W,3,1,,99-57,1,up 9.0,Kershaw,Stratton,Morrow,2:34,D,46774,+
157,Monday Sep 25,boxscore,LAD,,SDP,W,9,3,,100-57,1,up10.0,Darvish,Wood,,3:06,N,49419,++
158,Tuesday Sep 26,boxscore,LAD,,SDP,W,9,2,,101-57,1,up10.0,Wood,Lamet,,3:23,N,47432,+++
159,Wednesday Sep 27,boxscore,LAD,,SDP,W,10,0,,102-57,1,up10.0,Hill,Richard,,2:42,N,47273,++++
160,Friday Sep 29,boxscore,LAD,@,COL,L,1,9,,102-58,1,up10.0,Bettis,Ryu,,3:19,N,48395,-
161,Saturday Sep 30,boxscore,LAD,@,COL,W,5,3,,103-58,1,up11.0,Morrow,Chatwood,Jansen,2:59,N,48103,+
162,Sunday Oct 1,boxscore,LAD,@,COL,W,6,3,,104-58,1,up11.0,Maeda,Freeland,Fields,3:39,D,32946,++
