start_time,away_team,away_team_score,home_team,home_team_score
2018-11-01 00:00:00+00:00,INDIANA PACERS,107,NEW YORK KNICKS,101
2018-11-01 02:30:00+00:00,SAN ANTONIO SPURS,120,PHOENIX SUNS,90
2018-11-01 23:30:00+00:00,SACRAMENTO KINGS,146,ATLANTA HAWKS,115
2018-11-02 00:00:00+00:00,MILWAUKEE BUCKS,113,BOSTON CELTICS,117
2018-11-01 23:00:00+00:00,OKLAHOMA CITY THUNDER,111,CHARLOTTE HORNETS,107
2018-11-01 23:00:00+00:00,DENVER NUGGETS,110,CLEVELAND CAVALIERS,91
2018-11-01 23:00:00+00:00,LOS ANGELES CLIPPERS,113,PHILADELPHIA 76ERS,122
2018-11-02 02:30:00+00:00,NEW ORLEANS PELICANS,119,PORTLAND TRAIL BLAZERS,132
2018-11-02 23:30:00+00:00,HOUSTON ROCKETS,119,BROOKLYN NETS,111
2018-11-03 00:00:00+00:00,INDIANA PACERS,107,CHICAGO BULLS,105
2018-11-03 00:30:00+00:00,NEW YORK KNICKS,118,DALLAS MAVERICKS,106
2018-11-03 02:30:00+00:00,MINNESOTA TIMBERWOLVES,99,GOLDEN STATE WARRIORS,116
2018-11-02 23:00:00+00:00,LOS ANGELES CLIPPERS,120,ORLANDO MAGIC,95
2018-11-03 02:00:00+00:00,TORONTO RAPTORS,107,PHOENIX SUNS,98
2018-11-03 01:00:00+00:00,MEMPHIS GRIZZLIES,110,UTAH JAZZ,100
2018-11-03 00:00:00+00:00,OKLAHOMA CITY THUNDER,134,WASHINGTON WIZARDS,111
2018-11-03 23:30:00+00:00,MIAMI HEAT,118,ATLANTA HAWKS,123
2018-11-04 00:00:00+00:00,HOUSTON ROCKETS,96,CHICAGO BULLS,88
2018-11-03 23:00:00+00:00,CLEVELAND CAVALIERS,94,CHARLOTTE HORNETS,126
2018-11-04 01:00:00+00:00,UTAH JAZZ,88,DENVER NUGGETS,103
2018-11-03 23:00:00+00:00,BOSTON CELTICS,101,INDIANA PACERS,102
2018-11-03 17:00:00+00:00,DETROIT PISTONS,99,PHILADELPHIA 76ERS,109
2018-11-04 02:00:00+00:00,LOS ANGELES LAKERS,114,PORTLAND TRAIL BLAZERS,110
2018-11-04 00:30:00+00:00,NEW ORLEANS PELICANS,95,SAN ANTONIO SPURS,109
2018-11-04 23:00:00+00:00,PHILADELPHIA 76ERS,97,BROOKLYN NETS,122
2018-11-05 02:30:00+00:00,TORONTO RAPTORS,121,LOS ANGELES LAKERS,107
2018-11-04 20:30:00+00:00,SACRAMENTO KINGS,109,MILWAUKEE BUCKS,144
2018-11-05 01:00:00+00:00,MEMPHIS GRIZZLIES,100,PHOENIX SUNS,102
2018-11-05 02:00:00+00:00,MINNESOTA TIMBERWOLVES,81,PORTLAND TRAIL BLAZERS,111
2018-11-05 00:00:00+00:00,ORLANDO MAGIC,117,SAN ANTONIO SPURS,110
2018-11-04 23:00:00+00:00,NEW YORK KNICKS,95,WASHINGTON WIZARDS,108
2018-11-06 02:00:00+00:00,BOSTON CELTICS,107,DENVER NUGGETS,115
2018-11-06 00:00:00+00:00,MIAMI HEAT,120,DETROIT PISTONS,115
2018-11-06 03:30:00+00:00,MEMPHIS GRIZZLIES,101,GOLDEN STATE WARRIORS,117
2018-11-06 00:00:00+00:00,HOUSTON ROCKETS,98,INDIANA PACERS,94
2018-11-06 03:30:00+00:00,MINNESOTA TIMBERWOLVES,109,LOS ANGELES CLIPPERS,120
2018-11-06 00:30:00+00:00,CHICAGO BULLS,116,NEW YORK KNICKS,115
2018-11-06 01:00:00+00:00,NEW ORLEANS PELICANS,116,OKLAHOMA CITY THUNDER,122
2018-11-06 00:00:00+00:00,CLEVELAND CAVALIERS,100,ORLANDO MAGIC,102
2018-11-06 02:00:00+00:00,TORONTO RAPTORS,124,UTAH JAZZ,111
2018-11-07 00:00:00+00:00,ATLANTA HAWKS,102,CHARLOTTE HORNETS,113
2018-11-07 01:30:00+00:00,WASHINGTON WIZARDS,100,DALLAS MAVERICKS,119
2018-11-07 02:00:00+00:00,BROOKLYN NETS,104,PHOENIX SUNS,82
2018-11-07 03:00:00+00:00,MILWAUKEE BUCKS,103,PORTLAND TRAIL BLAZERS,118
