,ABUNDANCE & DENSITY,,,,WOLF VITAL RATES,,,,MOOSE VITAL RATES,,,,PREDATION STATS,,,CLIMATE,,,,,,,,,,,,,,,,,Fir growth from McLaren and Peterson (1994),,,Fir growth (from A. Chouinard),,,
Year,wolf abundance,moose abundance,wolves/ 1000km2,moose/ km2,wolf population growth rate,wolf mortality rate,wolf recruitment rate,wolf inbreeding coefficient,moose population growth rate,moose recruitment rate,no. of old moose,ave age,kill rate (kills/wolf/month),ann predation rate,proportion of diet comprised of calves,North Atlantic Oscillation (Dec-Mar;  Station Based Index),North Atlantic Oscillation (Dec-Mar; PC Based NAO Index),July-Sept (temp),Apr-May (temp),Jan-Feb temp,may-aug (precip),snow depth,Growing degree days by Julian day 91 ,Growing degree days by Julian day 105 ,Growing degree days by Julian day 121,Growing degree days by Julian day 135 ,Growing degree days by Julian day 152 ,Growing degree days by Julian day 166 ,Jan-Mar (precip),Dec-Apr (precip),,year,west end,east end,averaged,west end,east end,average,
1970,18,1045,33.1,1.92,0.11,0.00,0.11,0.489,0.132,0.161,99,3.8,--,--,--,-1.89,-1.14,16.9,5.4,-14.9,28.3,--,9,39,134,215,443,774,3.98,6.6,,1969,0.554,0.601,0.578,0.86,0.94,0.90,
1971,20,1183,36.8,2.17,0.15,0.35,0.50,0.506,0.051,0.114,128,4.0,0.614804965,0.062,0.57,-0.96,-0.63,15.3,6.1,-14.9,34.4,--,0,57,156,331,507,814,2.21,6.77,,1970,0.408,0.541,0.475,0.19,0.73,0.46,
1972,23,1243,42.3,2.29,0.04,0.26,0.30,0.522,-0.023,0.107,159,4.4,0.818668047,0.091,0.46,0.34,0.16,14.5,6.8,-16.9,40.6,--,4,12,97,217,583,887,4.36,6.1,,1971,0.33,0.526,0.428,0.38,0.56,0.47,
1973,24,1215,44.1,2.23,0.29,0.04,0.33,0.538,-0.010,0.151,186,4.9,0.760416667,0.090,0.27,2.52,1.27,16.0,6.2,-10.9,43.5,--,41,78,166,269,487,751,3.43,4.57,,1972,0.296,0.468,0.382,0.70,0.78,0.74,
1974,31,1203,57.0,2.21,0.32,0.15,0.47,0.553,-0.053,0.147,215,5.3,0.599037917,0.093,0.48,1.23,0.43,14.9,5.4,-13.9,39.8,50.0,0,25,145,220,426,676,2.02,5.17,,1973,0.278,0.463,0.371,0.42,0.73,0.58,
1975,41,1139,75.4,2.09,0.07,0.13,0.20,0.568,-0.060,0.123,223,5.7,0.645426829,0.139,0.24,1.63,0.8,15.8,6.1,-12.1,34.1,46.7,20,50,138,322,627,836,2.3,7.89,,1974,0.265,0.463,0.364,0.49,0.83,0.66,
1976,44,1070,80.9,1.97,-0.23,0.39,0.16,0.582,-0.113,0.103,293,6.1,0.56267618,0.139,0.29,1.37,1.29,16.4,7.9,-11.3,27.3,53.5,12,119,236,376,614,942,5.28,5.72,,1975,0.263,0.357,0.310,0.32,0.59,0.45,
1977,34,949,62.5,1.74,0.18,0.06,0.24,0.596,-0.110,0.061,299,6.5,0.298202614,0.064,0.23,-2.14,-1.32,14.7,10.2,-14.2,43.0,38.3,59,125,314,494,821,1030,4.2,5.25,,1976,0.277,0.268,0.273,0.27,0.54,0.40,
1978,40,845,73.5,1.55,0.08,0.13,0.21,0.610,0.015,0.102,336,7.2,0.506944444,0.144,0.06,0.17,-0.51,16.1,7.3,-15.1,46.5,43.3,7,17,119,261,561,768,3.37,4.47,,1977,0.328,0.231,0.280,0.37,0.21,0.29,
1979,43,857,79.0,1.58,0.16,0.06,0.22,0.622,-0.080,0.13,356,7.3,0.387442741,0.117,0.39,-2.25,-1.41,15.6,4.3,-17.6,37.6,65.4,2,9,105,180,408,640,1.68,7.8,,1978,0.381,0.231,0.306,0.67,0.30,0.49,
1980,50,788,91.9,1.45,-0.40,0.54,0.14,0.635,-0.027,0.12,384,7.7,0.329943503,0.126,0.21,0.56,-0.31,16.1,9.1,-12.8,33.1,35.9,16,61,237,418,725,967,5.55,3.45,,1979,0.494,0.327,0.411,0.66,0.38,0.52,
1981,30,767,55.1,1.41,-0.53,0.53,0.00,0.647,0.017,0.237,391,7.8,0.217261905,0.051,0.21,2.05,0.34,16.2,7.0,-10.5,33.5,28.4,47,134,223,366,641,898,2.65,7.69,,1980,0.46,0.335,0.398,1.25,0.52,0.89,
1982,14,780,25.7,1.43,0.64,0.29,0.93,0.659,0.065,0.207,405,7.8,0.869047619,0.094,0.29,0.80,-0.16,15.4,6.6,-16.6,41.1,53.9,8,29,174,323,587,813,2.52,5.33,,1981,0.482,0.376,0.429,0.99,0.66,0.83,
1983,23,830,42.3,1.53,0.04,0.41,0.45,0.670,0.116,0.164,374,7.3,0.393821931,0.065,0.22,3.42,1.35,17.9,5.1,-8.8,33.8,41.3,2,39,127,246,425,664,2.97,5.27,,1982,0.457,0.469,0.463,1.27,0.84,1.06,
1984,24,927,44.1,1.70,-0.08,0.38,0.30,0.681,0.053,0.145,388,6.8,0.440241228,0.068,0.17,1.60,0.46,15.9,7.2,-10.1,32.6,32.5,5,89,261,381,624,869,2.74,4.44,,1983,0.363,0.607,0.485,1.15,1.07,1.11,
1985,22,976,40.4,1.79,-0.09,0.27,0.18,0.691,0.039,0.131,341,6.3,0.456630525,0.062,0.24,-0.63,-0.77,14.6,8.3,-14.0,41.8,34.3,54,96,248,434,658,871,1.7,6.57,,1984,0.454,0.698,0.576,1.89,1.94,1.91,
