Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
130,Saturday Aug 25,boxscore,LAD,,SDP,W-wo,5,4,12,69-61,3,2.5,Ferguson,Stock,,3:26,N,53528,++,
131,Sunday Aug 26,boxscore,LAD,,SDP,W,7,3,,70-61,3,2.5,Ryu,Erlin,,3:07,D,43252,+++,
132,Tuesday Aug 28,boxscore,LAD,@,TEX,W,8,4,,71-61,3,1,Ferguson,Jurado,,3:19,N,30123,++++,
133,Wednesday Aug 29,boxscore,LAD,@,TEX,W,3,1,,72-61,3,1,Wood,Minor,Maeda,2:49,N,29181,+++++,
134,Thursday Aug 30,boxscore,LAD,,ARI,L,1,3,,72-62,3,2,Ray,Hill,Boxberger,3:14,N,45150,-,
135,Friday Aug 31,boxscore,LAD,,ARI,W,3,2,,73-62,2,1,Floro,Greinke,Jansen,2:33,N,48965,+,
136,Saturday Sep 1,boxscore,LAD,,ARI,W,3,2,,74-62,1,Tied,Maeda,Bradley,Jansen,2:59,N,52394,++,
137,Sunday Sep 2,boxscore,LAD,,ARI,W-wo,3,2,,75-62,1,up 0.5,Jansen,Boxberger,,3:35,D,48517,+++,
138,Monday Sep 3,boxscore,LAD,,NYM,L,2,4,,75-63,2,0.5,Smith,Maeda,Gsellman,3:30,N,45206,-,
139,Tuesday Sep 4,boxscore,LAD,,NYM,W,11,4,,76-63,2,0.5,Hill,Vargas,,3:17,N,46651,+,
140,Wednesday Sep 5,boxscore,LAD,,NYM,L,3,7,,76-64,2,1.5,Wheeler,Ryu,,2:39,D,40317,-,
141,Friday Sep 7,boxscore,LAD,@,COL,W,4,2,,77-64,2,0.5,Kershaw,Rusin,Maeda,3:53,N,41547,+,
142,Saturday Sep 8,boxscore,LAD,@,COL,L,2,4,,77-65,2,1.5,Freeland,Buehler,Davis,2:41,N,47867,-,
143,Sunday Sep 9,boxscore,LAD,@,COL,W,9,6,,78-65,2,0.5,Hill,Anderson,Alexander,3:51,D,40157,+,
144,Monday Sep 10,boxscore,LAD,@,CIN,L,6,10,,78-66,2,1.5,Hughes,Wood,,3:23,N,12161,-,
145,Tuesday Sep 11,boxscore,LAD,@,CIN,L,1,3,,78-67,2,1.5,Castillo,Ryu,Iglesias,2:40,N,14964,--,
146,Wednesday Sep 12,boxscore,LAD,@,CIN,W,8,1,,79-67,2,1.5,Ferguson,DeSclafani,,3:10,D,15633,+,
147,Thursday Sep 13,boxscore,LAD,@,STL,W,9,7,,80-67,2,1.5,Kershaw,Gomber,,3:28,N,40997,++,
148,Friday Sep 14,boxscore,LAD,@,STL,W,3,0,,81-67,2,0.5,Buehler,Flaherty,Jansen,3:04,N,46036,+++,
149,Saturday Sep 15,boxscore,LAD,@,STL,W,17,4,,82-67,1,up 0.5,Hill,Gant,,3:32,D,45481,++++,
150,Sunday Sep 16,boxscore,LAD,@,STL,L,0,5,,82-68,2,0.5,Wainwright,Stripling,,3:20,N,45217,-,
151,Monday Sep 17,boxscore,LAD,,COL,W,8,2,,83-68,1,up 0.5,Ryu,Gray,,3:07,N,45970,+,
152,Tuesday Sep 18,boxscore,LAD,,COL,W-wo,3,2,10,84-68,1,up 1.5,Floro,Ottavino,,3:13,N,49537,++,
153,Wednesday Sep 19,boxscore,LAD,,COL,W,5,2,,85-68,1,up 2.5,Ferguson,Oberg,Jansen,3:05,N,50141,+++,
154,Friday Sep 21,boxscore,LAD,,SDP,L,3,5,,85-69,1,up 1.5,Lauer,Stripling,Yates,3:57,N,52458,-,
155,Saturday Sep 22,boxscore,LAD,,SDP,W,7,2,,86-69,1,up 1.5,Hill,Nix,Jansen,2:51,N,53536,+,
156,Sunday Sep 23,boxscore,LAD,,SDP,W,14,0,,87-69,1,up 1.5,Ryu,Lucchesi,,3:11,D,50250,++,
157,Monday Sep 24,boxscore,LAD,@,ARI,W,7,4,,88-69,1,up 1.5,Kershaw,Chafin,,3:33,N,26067,+++,
158,Tuesday Sep 25,boxscore,LAD,@,ARI,L-wo,3,4,,88-70,1,up 0.5,Boxberger,Maeda,,3:23,N,25774,-,
159,Wednesday Sep 26,boxscore,LAD,@,ARI,L,2,7,,88-71,2,0.5,Greinke,Stripling,,3:14,N,31149,--,
160,Friday Sep 28,boxscore,LAD,@,SFG,W,3,1,,89-71,2,1,Ryu,Bumgarner,Jansen,3:16,N,41167,+,
161,Saturday Sep 29,boxscore,LAD,@,SFG,W,10,6,,90-71,1,Tied,Wood,Melancon,,3:33,D,41768,++,
162,Sunday Sep 30,boxscore,LAD,@,SFG,W,15,0,,91-71,1,Tied,Hill,Suarez,,2:47,D,41280,+++,
163,Monday Oct 1,boxscore,LAD,,COL,W,5,2,,92-71,1,up 1.0,Buehler,Marquez,,3:21,D,47816,++++,
164,,boxscore,LAD,,ATL,W,6,0,,,,,,,,,,,,
165,,boxscore,LAD,,ATL,W,3,0,,,,,,,,,,,,
166,,boxscore,LAD,@,ATL,L,5,6,,,,,,,,,,,,
167,,boxscore,LAD,@,ATL,W,6,2,,,,,,,,,,,,
168,,boxscore,LAD,@,MIL,L,5,6,,,,,,,,,,,,
169,,boxscore,LAD,@,MIL,W,4,3,,,,,,,,,,,,
170,,boxscore,LAD,,MIL,L,0,4,,,,,,,,,,,,
171,,boxscore,LAD,,MIL,W,2,1,13,,,,,,,,,,,
172,,boxscore,LAD,,MIL,W,5,2,,,,,,,,,,,,
173,,boxscore,LAD,@,MIL,L,2,7,,,,,,,,,,,,
174,,boxscore,LAD,@,MIL,W,5,1,,,,,,,,,,,,
