Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
121,Tuesday Aug 14,boxscore,BOS,@,PHI,W,2,1,,86-35,1,up10.0,Porcello,Hunter,Kimbrel,2:40,N,33081,+++++,
122,Wednesday Aug 15,boxscore,BOS,@,PHI,L,4,7,,86-36,1,up10.0,Hunter,Kelly,Dominguez,3:27,N,35266,-,
123,Friday Aug 17,boxscore,BOS,,TBR,W,7,3,,87-36,1,up10.5,Johnson,Chirinos,,2:47,N,37012,+,
124,Saturday Aug 18,boxscore,BOS,,TBR,W,5,2,,88-36,1,up10.5,Price,Glasnow,Kimbrel,2:28,N,36654,++,
125,Sunday Aug 19,boxscore,BOS,,TBR,L,0,2,,88-37,1,up 9.5,Beeks,Velazquez,Romo,2:47,D,37242,-,
126,Monday Aug 20,boxscore,BOS,,CLE,L,4,5,,88-38,1,up 9.0,Kluber,Porcello,Allen,3:01,N,37274,--,
127,Tuesday Aug 21,boxscore,BOS,,CLE,L,3,6,,88-39,1,up 8.0,Bieber,Eovaldi,Hand,2:57,N,37188,---,
128,Wednesday Aug 22,boxscore,BOS,,CLE,W,10,4,,89-39,1,up 9.0,Barnes,Carrasco,,3:24,N,37107,+,
129,Thursday Aug 23,boxscore,BOS,,CLE,W,7,0,,90-39,1,up 9.5,Price,Plutko,,2:47,D,37396,++,
130,Friday Aug 24,boxscore,BOS,@,TBR,L,3,10,,90-40,1,up 8.5,Beeks,Velazquez,,3:10,N,19723,-,
131,Saturday Aug 25,boxscore,BOS,@,TBR,L,1,5,,90-41,1,up 7.0,Stanek,Porcello,,2:53,N,25695,--,
132,Sunday Aug 26,boxscore,BOS,@,TBR,L,1,9,,90-42,1,up 6.0,Snell,Eovaldi,,3:05,D,23448,---,
133,Tuesday Aug 28,boxscore,BOS,,MIA,W-wo,8,7,,91-42,1,up 6.5,Kimbrel,Steckenrider,,3:29,N,36708,+,
134,Wednesday Aug 29,boxscore,BOS,,MIA,W,14,6,,92-42,1,up 7.5,Thornburg,Conley,,3:10,N,36628,++,
135,Thursday Aug 30,boxscore,BOS,@,CHW,W,9,4,,93-42,1,up 8.5,Brasier,Vieira,,3:37,N,18015,+++,
136,Friday Aug 31,boxscore,BOS,@,CHW,L,1,6,,93-43,1,up 7.5,Covey,Eovaldi,,2:53,N,23625,-,
137,Saturday Sep 1,boxscore,BOS,@,CHW,W,6,1,,94-43,1,up 7.5,Rodriguez,Rodon,,2:56,N,22639,+,
138,Sunday Sep 2,boxscore,BOS,@,CHW,L,0,8,,94-44,1,up 7.5,Shields,Johnson,,3:12,D,30745,-,
139,Monday Sep 3,boxscore,BOS,@,ATL,W,8,2,,95-44,1,up 8.5,Workman,Toussaint,,3:40,D,40394,+,
140,Tuesday Sep 4,boxscore,BOS,@,ATL,W,5,1,,96-44,1,up 8.5,Porcello,Newcomb,,3:03,N,35333,++,
141,Wednesday Sep 5,boxscore,BOS,@,ATL,W,9,8,,97-44,1,up 9.5,Workman,Minter,Kimbrel,3:44,D,28386,+++,
142,Friday Sep 7,boxscore,BOS,,HOU,L,3,6,,97-45,1,up 8.5,Pressly,Kelly,Osuna,3:38,N,36930,-,
