Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
78,Sunday Jun 23,boxscore,TEX,,CHW,W,7,4,,42-36,2,6.5,Sampson,Nova,Kelley,3:07,D,21917,++,
79,Tuesday Jun 25,boxscore,TEX,@,DET,W,5,3,,43-36,2,6.5,Chavez,Zimmermann,,2:47,N,18952,+++,
80,Wednesday Jun 26,boxscore,TEX,@,DET,W,4,1,,44-36,2,5.5,Minor,Boyd,,2:19,N,19732,++++,
81,Thursday Jun 27,boxscore,TEX,@,DET,W,3,1,,45-36,2,4.5,Jurado,Turnbull,Kelley,2:52,D,22925,+++++,
82,Friday Jun 28,boxscore,TEX,@,TBR,W,5,0,,46-36,2,4.5,Lynn,Chirinos,,2:48,N,13955,++++++,
83,Saturday Jun 29,boxscore,TEX,@,TBR,L,2,5,,46-37,2,5.5,McKay,Sampson,,2:56,D,16655,-,
84,Sunday Jun 30,boxscore,TEX,@,TBR,L,2,6,,46-38,2,6.5,Snell,Chavez,,2:28,D,11234,--,
85,Tuesday Jul 2,boxscore,TEX,,LAA,L,4,9,,46-39,3,7.5,Cahill,Fairbanks,,4:12,N,20931,---,
86,Wednesday Jul 3,boxscore,TEX,,LAA,L,2,6,,46-40,3,8.5,Barria,Jurado,,2:55,N,28998,----,
87,Thursday Jul 4,boxscore,TEX,,LAA,W,9,3,,47-40,3,8.0,Lynn,Canning,,3:27,N,45556,+,
88,Friday Jul 5,boxscore,TEX,@,MIN,L,6,15,,47-41,3,8.0,Perez,Sampson,,3:02,N,38073,-,
89,Saturday Jul 6,boxscore,TEX,@,MIN,L,4,7,,47-42,3,9.0,Pineda,Chavez,Rogers,3:12,D,36969,--,
90,Sunday Jul 7,boxscore,TEX,@,MIN,W,4,1,11,48-42,3,9.0,Kelley,Mejia,,4:15,D,35495,+,
